year,week,rank,title,author,publisher,description
2022,2022-11-06,14,NOVEMBER 9,Colleen Hoover,Atria,Is Ben using his relationship with Fallon as fodder for his novel?
2022,2022-11-06,15,RIGHTEOUS PREY,John Sandford,Putnam,The 32nd book in the Prey series. Virgil Flowers and Lucas Davenport go after a group of vigilante killers.
2022,2022-11-13,1,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend."
2022,2022-11-13,2,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.
2022,2022-11-13,3,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2022,2022-11-13,4,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
2022,2022-11-13,5,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
2022,2022-11-13,6,FIRE AND BLOOD,George R.R. Martin,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros."
2022,2022-11-13,7,LIVID,Patricia Cornwell,Grand Central,The 26th book in the Kay Scarpetta series. Scarpetta becomes a star witness in a televised murder trial and the judge’s sister is found dead.
2022,2022-11-13,8,THE PASSENGER,Cormac McCarthy,Knopf,"The first of a two-volume story. Bobby Western discovers things have gone missing from a jet in an underwater crash site, including the 10th passenger."
2022,2022-11-13,9,UGLY LOVE,Colleen Hoover,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't."
2022,2022-11-13,10,LONG SHADOWS,David Baldacci,Grand Central,The seventh book in the Memory Man series. Decker works with a new partner to investigate a double homicide.
2022,2022-11-13,11,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
2022,2022-11-13,12,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2022,2022-11-13,13,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
2022,2022-11-13,14,DEMON COPPERHEAD,Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
2022,2022-11-13,15,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2022,2022-11-20,1,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend."
2022,2022-11-20,2,GOING ROGUE,Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.
2022,2022-11-20,3,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2022,2022-11-20,4,TRIPLE CROSS,James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.
2022,2022-11-20,5,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
