year,week,rank,title,author
1933,1933-04-24,2,THE WEREWOLF OF PARIS,Guy Endore
1933,1933-04-24,3,SOUTH MOON UNDER,Marjorie K. Rawlings
1933,1933-05-01,1,THE WEREWOLF OF PARIS,Guy Endore
1933,1933-05-01,2,RAIN IN THE DOORWAY,Thorne Smith
1933,1933-05-01,3,ONE MORE SPRING,Robert Nathan
1933,1933-05-08,1,AS THE EARTH TURNS,Gladys Hasty Carroll
1933,1933-05-08,2,ONE MORE SPRING,Robert Nathan
1933,1933-05-08,3,RAIN IN THE DOORWAY,Thorne Smith
1933,1933-05-15,1,AS THE EARTH TURNS,Gladys Hasty Carroll
1933,1933-05-15,2,THEY BROUGHT THEIR WOMEN,Edna Ferber
1933,1933-05-15,3,RAIN IN THE DOORWAY,Thorne Smith
1933,1933-05-22,1,THE STORE,T. S. Stribling
1933,1933-05-22,2,AS THE EARTH TURNS,Gladys Hasty Carroll
1933,1933-05-22,3,GRAND CANARY,A. J. Cronin
1933,1933-05-29,1,AS THE EARTH TURNS,Gladys Hasty Carroll
1933,1933-05-29,2,GRAND CANARY,A. J. Cronin
1933,1933-05-29,3,ZEST,Charles G. Norris
1933,1933-06-05,1,AS THE EARTH TURNS,Gladys Hasty Carroll
1933,1933-06-05,2,THE ALBUM,Mary Roberts Rinehart
1933,1933-06-05,3,ZEST,Charles G. Norris
1933,1933-06-12,1,"LITTLE MAN, WHAT NOW?",Hans Fallada
1933,1933-06-12,2,THE ALBUM,Mary Roberts Rinehart
1933,1933-06-12,3,AS THE EARTH TURNS,Gladys Hasty Carroll
1933,1933-06-19,1,"LITTLE MAN, WHAT NOW?",Hans Fallada
1933,1933-06-19,2,THE ALBUM,Mary Roberts Rinehart
1933,1933-06-19,3,AS THE EARTH TURNS,Gladys Hasty Carroll
1933,1933-06-26,1,"LITTLE MAN, WHAT NOW?",Hans Fallada
1933,1933-06-26,2,AS THE EARTH TURNS,Gladys Hasty Carroll
1933,1933-06-26,3,MEN OF GOOD-WILL,Jules Romains
1933,1933-07-03,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-07-03,2,"LITTLE MAN, WHAT NOW?",Hans Fallada
1933,1933-07-03,3,WIFE FOR SALE,Kathleen Norris
1933,1933-07-10,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-07-10,2,"LITTLE MAN, WHAT NOW?",Hans Fallada
1933,1933-07-10,3,AS THE EARTH TURNS,Gladys Hasty Carroll
1933,1933-07-17,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-07-17,2,AS THE EARTH TURNS,Gladys Hasty Carroll
1933,1933-07-17,3,"LITTLE MAN, WHAT NOW?",Hans Fallada
1933,1933-07-24,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-07-24,2,"LITTLE MAN, WHAT NOW?",Hans Fallada
1933,1933-07-24,3,STRANGER'S RETURN,Phil Stong
1933,1933-07-31,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-07-31,2,STRANGER'S RETURN,Phil Stong
1933,1933-07-31,3,"LITTLE MAN, WHAT NOW?",Hans Fallada
1933,1933-08-07,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-08-07,2,ALL MEN ARE ENEMIES,Richard Aldington
1933,1933-08-07,3,STRANGER'S RETURN,Phil Stong
1933,1933-08-14,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-08-14,2,ALL MEN ARE ENEMIES,Richard Aldington
1933,1933-08-14,3,"LITTLE MAN, WHAT NOW?",Hans Fallada
1933,1933-08-21,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-08-21,2,ALL MEN ARE ENEMIES,Richard Aldington
1933,1933-08-21,3,THE FARM,Louis Bromfield
1933,1933-08-28,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-08-28,2,THE FARM,Louis Bromfield
1933,1933-08-28,3,ALL MEN ARE ENEMIES,Richard Aldington
1933,1933-09-04,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-09-04,2,THE FARM,Louis Bromfield
1933,1933-09-04,3,THE PARADINE CASE,Robert Hichens
1933,1933-09-11,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-09-11,2,THE FARM,Louis Bromfield
1933,1933-09-11,3,MISS BISHOP,Bess Streeter Aldrich
1933,1933-09-18,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-09-18,2,THE FARM,Louis Bromfield
1933,1933-09-18,3,THE MASTER OF JAINA,Maz De La Roche
1933,1933-09-25,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-09-25,2,VANESSA,Hugh Walpole
1933,1933-09-25,3,NO SECOND SPRING,Janet Beith
1933,1933-10-02,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-10-02,2,VANESSA,Hugh Walpole
1933,1933-10-02,3,THE MASTER OF JAINA,Maz De La Roche
1933,1933-10-09,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-10-09,2,VANESSA,Hugh Walpole
1933,1933-10-09,3,NO SECOND SPRING,Janet Beith
1933,1933-10-16,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-10-16,2,ONE MORE RIVER,John Galsworthy
1933,1933-10-16,3,IDA ELISABETH,Sigrid Undset
1933,1933-10-23,1,ANTHONY ADVERSE,Hervey Allen
1933,1933-10-23,2,ONE MORE RIVER,John Galsworthy
1933,1933-10-23,3,THE DRAGON MURDER CASE,S. S. Van Dine
