year,week,rank,title,author
2011,2011-06-19,4,SUMMER SECRETS,Barbara Freethy
2011,2011-06-19,5,JUST LIKE HEAVEN,Julia Quinn
2011,2011-06-19,6,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-06-19,7,BURIED PREY,John Sandford
2011,2011-06-19,8,A GAME OF THRONES,George R.R. Martin
2011,2011-06-19,9,DREAMS OF JOY,Lisa See
2011,2011-06-19,10,CREED'S HONOR,Linda Lael Miller
2011,2011-06-19,11,BEACH LANE,Sherryl Woods
2011,2011-06-19,12,MAGIC SLAYS,Ilona Andrews
2011,2011-06-19,13,DEAD RECKONING,Charlaine Harris
2011,2011-06-19,14,THE SIXTH MAN,David Baldacci
2011,2011-06-19,15,SOMETHING BLUE,Emily Giffin
2011,2011-06-26,1,THE HELP,Kathryn Stockett
2011,2011-06-26,2,HIT LIST,Laurell K. Hamilton
2011,2011-06-26,3,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-06-26,4,STATE OF WONDER,Ann Patchett
2011,2011-06-26,5,THE KINGDOM,Clive Cussler with Grant Blackwood
2011,2011-06-26,6,BURIED PREY,John Sandford
2011,2011-06-26,7,10TH ANNIVERSARY,James Patterson and Maxine Paetro
2011,2011-06-26,8,A GAME OF THRONES,George R.R. Martin
2011,2011-06-26,9,SOMETHING BORROWED,Emily Giffin
2011,2011-06-26,10,SUMMER SECRETS,Barbara Freethy
2011,2011-06-26,11,THE WINTER SEA,Susanna Kearsley
2011,2011-06-26,12,ROOM,Emma Donoghue
2011,2011-06-26,13,SUMMER RENTAL,Mary Kay Andrews
2011,2011-06-26,14,DEAD RECKONING,Charlaine Harris
2011,2011-06-26,15,THE SIXTH MAN,David Baldacci
2011,2011-07-03,1,THE HELP,Kathryn Stockett
2011,2011-07-03,2,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep
2011,2011-07-03,3,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-07-03,4,ONE SUMMER,David Baldacci
2011,2011-07-03,5,A GAME OF THRONES,George R.R. Martin
2011,2011-07-03,6,STATE OF WONDER,Ann Patchett
2011,2011-07-03,7,CARTE BLANCHE,Jeffery Deaver
2011,2011-07-03,8,10TH ANNIVERSARY,James Patterson and Maxine Paetro
2011,2011-07-03,9,BURIED PREY,John Sandford
2011,2011-07-03,10,FOLLY BEACH,Dorothea Benton Frank
2011,2011-07-03,11,BEFORE I GO TO SLEEP,S. J. Watson
2011,2011-07-03,12,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-07-03,13,A CLASH OF KINGS,George R.R. Martin
2011,2011-07-03,14,SISTERHOOD EVERLASTING,Ann Brashares
2011,2011-07-03,15,ROOM,Emma Donoghue
2011,2011-07-10,1,SMOKIN’ SEVENTEEN,Janet Evanovich
2011,2011-07-10,2,THE HELP,Kathryn Stockett
2011,2011-07-10,3,A GAME OF THRONES,George R.R. Martin
2011,2011-07-10,4,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-07-10,5,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep
2011,2011-07-10,6,THE DEVIL COLONY,James Rollins
2011,2011-07-10,7,STATE OF WONDER,Ann Patchett
2011,2011-07-10,8,A CLASH OF KINGS,George R.R. Martin
2011,2011-07-10,9,ONE SUMMER,David Baldacci
2011,2011-07-10,10,SILVER GIRL,Elin Hilderbrand
2011,2011-07-10,11,LEARNING,Karen Kingsbury
2011,2011-07-10,12,ROOM,Emma Donoghue
2011,2011-07-10,13,FALLEN,Karin Slaughter
2011,2011-07-10,14,10TH ANNIVERSARY,James Patterson and Maxine Paetro
2011,2011-07-10,15,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
2011,2011-07-17,1,NOW YOU SEE HER,James Patterson and Michael Ledwidge
2011,2011-07-17,2,THE HELP,Kathryn Stockett
2011,2011-07-17,3,SMOKIN’ SEVENTEEN,Janet Evanovich
2011,2011-07-17,4,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-07-17,5,DEEPER THAN MIDNIGHT,Lara Adrian
2011,2011-07-17,6,STATE OF WONDER,Ann Patchett
2011,2011-07-17,7,THE CREED LEGACY,Linda Lael Miller
2011,2011-07-17,8,A GAME OF THRONES,George R.R. Martin
2011,2011-07-17,9,ONE SUMMER,David Baldacci
2011,2011-07-17,10,A CLASH OF KINGS,George R.R. Martin
2011,2011-07-17,11,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep
2011,2011-07-17,12,ROOM,Emma Donoghue
2011,2011-07-17,13,SAVOR THE DANGER,Lori Foster
2011,2011-07-17,14,THE BLACK ECHO,Michael Connelly
2011,2011-07-17,15,SILVER GIRL,Elin Hilderbrand
2011,2011-07-24,1,THE HELP,Kathryn Stockett
2011,2011-07-24,2,NOW YOU SEE HER,James Patterson and Michael Ledwidge
2011,2011-07-24,3,SMOKIN’ SEVENTEEN,Janet Evanovich
2011,2011-07-24,4,THE SILENT GIRL,Tess Gerritsen
2011,2011-07-24,5,THE BLACK ECHO,Michael Connelly
2011,2011-07-24,6,A GAME OF THRONES,George R.R. Martin
2011,2011-07-24,7,ONE SUMMER,David Baldacci
2011,2011-07-24,8,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-07-24,9,STATE OF WONDER,Ann Patchett
2011,2011-07-24,10,A CLASH OF KINGS,George R.R. Martin
2011,2011-07-24,11,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep
2011,2011-07-24,12,ROOM,Emma Donoghue
2011,2011-07-24,13,HELL'S CORNER,David Baldacci
2011,2011-07-24,14,A STORM OF SWORDS,George R.R. Martin
2011,2011-07-24,15,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-07-31,1,A DANCE WITH DRAGONS,George R. R. Martin
2011,2011-07-31,2,THE HELP,Kathryn Stockett
2011,2011-07-31,3,NOW YOU SEE HER,James Patterson and Michael Ledwidge
2011,2011-07-31,4,THEN CAME YOU,Jennifer Weiner
